Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   39    1 0xfffffe0007363ae0 0xb690     0xb690     com.apple.driver.AppleBiometricSensor (2) 5BC29A5B-86FD-3133-AEED-2B082DF302BC <38 28 26 19 9 8 7 6 5 3>
   40   26 0xfffffe0007995fe0 0x706      0x706      com.apple.driver.IOSlaveProcessor (1) 2F499AAD-485D-350A-BFF3-E54EA8BC4F6D <8 7 6 5>
   41   11 0xfffffe0007122260 0x14b3     0x14b3     com.apple.driver.AppleA7IOP (1.0.2) C809288E-8668-3FF1-BFD9-65735663142E <40 28 7 6 5 3>
   42    7 0xfffffe00078f2e30 0x2960     0x2960     com.apple.driver.IODARTFamily (1) 96BFE781-06B9-3EAE-B1A2-B37F524D9075 <28 8 7 6 5 3>
   43   12 0xfffffe00075d6bf0 0xcd8d     0xcd8d     com.apple.driver.AppleSEPManager (1.0.1) A4781B13-AB1D-3731-A5C8-67D2C5751928 <42 41 40 28 10 9 8 7 6 5 3>
   44    2 0xfffffe000738bd30 0x17c78    0x17c78    com.apple.driver.AppleCredentialManager (1.0) 22C516B6-5A8D-3013-BA36-E56C890EC657 <43 40 19 10 9 8 7 6 5 3>
   45    0 0xfffffe00073ba740 0x3ba0     0x3ba0     com.apple.driver.AppleDiskImages2 (385.120.4) 3B5EC2CA-3677-3521-A363-9E7A477219B6 <22 8 7 6 5 3>
   46    3 0xfffffe00073cc3e0 0x1b04     0x1b04     com.apple.driver.AppleEffaceableStorage (1.0) FD9026D5-F4D4-3B83-8601-6721D66C037E <9 7 6 5 3>
   47    0 0xfffffe00073f21a0 0xade      0xade      com.apple.driver.AppleFDEKeyStore (28.30) 7D91F80F-6AB7-3197-ACD9-6900111813B7 <46 10 9 8 7 6 5 3>
   48   14 0xfffffe000795dc50 0x1915     0x1915     com.apple.iokit.IONetworkingFamily (3.4) 28F96B76-09C7-3170-9113-C060EFEBCAC4 <9 8 7 6 5 3>
   49    2 0xfffffe000796e240 0x191a     0x191a     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) F1A2031E-C68C-3C3A-8848-64B065383629 <48 8 6 5 3>
   50    8 0xfffffe0007992f80 0x3060     0x3060     com.apple.iokit.IOSkywalkFamily (1.0) F888A829-9368-3780-B700-3BF6B1EAABF4 <49 48 9 8 7 6 5 3>
   51    0 0xfffffe0007499890 0xd40      0xd40      com.apple.driver.AppleIPAppender (1.0) D6C54145-BE1D-3C7F-A981-B696A01ABD53 <50 48 9 8 7 6 5 3>
   52    0 0xfffffe00074be340 0x4c62     0x4c62     com.apple.driver.AppleLockdownMode (1) C9015223-734A-378B-B46C-3EDEB305C157 <44 9 8 7 6 5 3>
   53    1 0xfffffe000798a470 0x854      0x854      com.apple.iokit.IORSMFamily (1) 03A04943-4311-3C7F-A648-FA365B4DEF84 <7 6 5 3>
   54    0 0xfffffe00075c57b0 0xc8b      0xc8b      com.apple.driver.AppleRSMChannel (1) AF1FE054-D9EE-3AD9-B152-10F305FF76E8 <53 8 7 6 5 3>
   55    5 0xfffffe000798b840 0x1df0     0x1df0     com.apple.iokit.IOSCSIArchitectureModelFamily (500.120.2) E2AE6A19-BFE6-3F39-8E31-EC7BD7F2AFCA <8 7 6 5 3>
   56    2 0xfffffe000798d630 0x14ef     0x14ef     com.apple.iokit.IOSCSIBlockCommandsDevice (500.120.2) 4624B2D8-6DDC-3A53-B419-CEEBE26FB497 <55 22 8 7 6 5 3>
   57    8 0xfffffe0007992410 0xb6f      0xb6f      com.apple.iokit.IOSerialFamily (11) 2197C3C8-376A-3B0A-A83A-76C36D18F3B4 <9 8 7 6 5 3>
   58    7 0xfffffe0007587440 0x20d8     0x20d8     com.apple.driver.AppleOnboardSerial (1.0) E1D46142-4B78-32B2-9B95-5071D3D8D451 <57 50 9 7 6 5 3>
   59   16 0xfffffe00078ac1f0 0x21aaf    0x21aaf    com.apple.iokit.IOAccessoryManager (1.0.0) A1E72B5E-2AF6-3C18-A8A3-A59D17C92113 <58 57 38 28 9 8 7 6 5 3>
