Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  146    4 0xfffffe0007a82b60 0xc51      0xc51      com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 8DD53C29-2371-31C9-B823-EC10E9EC7ED1 <66 64 8 7 6 5 3>
  147    1 0xfffffe0007a85e70 0x4dbb     0x4dbb     com.apple.driver.usb.AppleUSBHub (1.2) 1EB3F9C5-FFC6-3E5F-B2E2-BC35842565A4 <66 64 7 6 5 3>
  148    2 0xfffffe00073ef0d0 0xc0c      0xc0c      com.apple.driver.AppleEmbeddedUSBHost (1) 1F8047A3-1261-3FBE-BBC1-30F90364B366 <147 146 66 65 64 20 9 8 7 6 5 3>
  149    3 0xfffffe0007a96a40 0xc303     0xc303     com.apple.driver.usb.AppleUSBXHCI (1.2) 1E777E88-E2C4-3A9C-8B21-4BD25AB7C863 <105 66 64 59 28 9 8 7 6 5 3>
  150    1 0xfffffe0007a6eae0 0x94f0     0x94f0     com.apple.driver.usb.AppleSynopsysUSBXHCI (1) 5D2BA837-65CD-3D36-A1A0-01070E367B03 <149 148 116 105 66 64 59 28 9 8 7 6 5 3>
  151    0 0xfffffe0007a61280 0xd858     0xd858     com.apple.driver.usb.AppleSynopsysUSB40XHCI (1) 88EFA87D-FD46-3F87-89E9-5F923EEE0FDC <150 149 148 106 105 66 64 59 28 9 8 7 6 5 3>
  152    3 0xfffffe0007a31ca0 0x4b6c     0x4b6c     com.apple.iokit.IOUSBDeviceFamily (2.0.0) 141AE7FB-45AE-3D49-88E9-D69FEF749862 <64 8 7 6 5 3>
  153    1 0xfffffe0007a36810 0x8670     0x8670     com.apple.driver.AppleUSBXDCI (1.0) 66378E29-6F9E-32E8-8DCD-AB613120C122 <152 64 8 7 6 5 3>
  154    0 0xfffffe0007a3ee80 0x8e52     0x8e52     com.apple.driver.AppleUSBXDCIARM (1.0) DCE189B1-0142-30CC-BC95-2DDA4EACF69D <153 152 116 105 66 64 59 28 8 7 6 5 3>
  155    0 0xfffffe00076f04c0 0xeec9     0xeec9     com.apple.driver.AppleT6040TypeCPhy (1) D8641050-46AF-313C-BCA1-FCA6BD25D0F4 <116 105 62 59 40 7 6 5 3>
  156    1 0xfffffe0007911100 0x9db4     0x9db4     com.apple.iokit.IOGPUFamily (104.5) 55C5E2A6-9251-3AC4-B969-53035F6D301A <76 67 36 26 20 9 8 7 6 5 3>
  157    0 0xfffffe0007108ea0 0x14f74    0x14f74    com.apple.AGXG16X (327.5) 71849FA1-D7F8-31EE-9EE7-D8681BD7B88B <156 62 36 28 26 20 19 14 9 8 7 6 5 3>
  158    0 0xfffffe0007145540 0xe44f8    0xe44f8    com.apple.driver.AppleAVD (863.1) 7CD2247B-C191-362A-A49B-0C88E82B60D0 <36 29 28 19 9 8 7 6 5 3>
  159    0 0xfffffe00073a8630 0x1388     0x1388     com.apple.driver.AppleDPDisplayTCON (1) 2BDFB041-F9CB-31A7-80EF-B3392FF2BC1E <131 35 28 9 8 7 6 5 3>
  160    0 0xfffffe00073f0200 0xaf7      0xaf7      com.apple.driver.AppleEventLogHandler (1) 8AE8EC92-1230-32B6-8A33-9EDCC9489992 <28 9 8 7 6 5 3>
  161    5 0xfffffe000758a550 0xf5cc     0xf5cc     com.apple.driver.ApplePMGR (1) 6745069A-758E-390E-AB49-934ABAA61754 <28 26 9 8 7 6 5 3>
  162    0 0xfffffe00076398a0 0x226f     0x226f     com.apple.driver.AppleT6041PMGR (1) E2AE40DA-B3FA-3B20-998C-7E88FE0A34D0 <161 28 14 9 8 7 6 5 3>
  163    0 0xfffffe00074acbd0 0xcf9c     0xcf9c     com.apple.driver.AppleJPEGDriver (7.6.8) 60B6DEAC-9DEC-342C-9503-F6478124109C <36 28 19 9 8 7 6 5 3>
  164    0 0xfffffe000763bb10 0xa60      0xa60      com.apple.driver.AppleT6041SOCTuner (1) 15B2D26E-700E-3335-94C8-2917CE65E7B1 <161 28 26 9 8 7 6 5 3>
  165    0 0xfffffe00075ffe00 0x7ca      0x7ca      com.apple.driver.AppleSerialShim (1) 42907C55-A799-3FB2-91E1-173EA0079F83 <28 9 8 7 6 5 3>
  166    0 0xfffffe00075fedd0 0x793      0x793      com.apple.driver.AppleSamsungSerial (1.0.0d1) 5B13DB6B-681E-3875-8185-4B3FCF6CA7A3 <58 57 28 9 7 6 5 3>
  167    1 0xfffffe0007104ea0 0x4000     0x4000     com.apple.AGXFirmwareKextRTBuddy64 (327.5) DA812174-DE84-3D57-B790-BAEC1FC6EAA8 <62 7 6 5 3>
  168    0 0xfffffe0007104000 0xe9b      0xe9b      com.apple.AGXFirmwareKextG16XRTBuddy (1) DD26F210-B634-3F5D-B6B3-89BBF50EBAEF <167 62 7 6 5 3>
  169    0 0xfffffe00075af9f0 0xbb27     0xbb27     com.apple.driver.AppleProResHW (475.6) D84F0A05-3338-3F32-8010-E8BB2AFD74D4 <36 28 9 7 6 5 3>
  170    0 0xfffffe000759f0b0 0x1093f    0x1093f    com.apple.driver.ApplePassthroughPPM (3.0) 7E57644E-F536-38EF-9F5A-E6F232775A86 <161 28 26 14 9 7 6 5 3>
  171    0 0xfffffe0007400580 0x41d48    0x41d48    com.apple.driver.AppleH16ANEInterface (8.600.2) EE7E3E06-CD9B-3745-A953-30283CABE720 <42 36 28 26 10 9 8 7 6 5 3>
  172    0 0xfffffe0007229a40 0xa543d    0xa543d    com.apple.driver.AppleAVE2 (803.71.1) 415C5490-0D30-3B62-AC67-5493D1C138D0 <36 29 28 19 9 7 6 5 3>
  173    2 0xfffffe000774e950 0x4099     0x4099     com.apple.driver.DCPAVFamilyProxy (1) D94AF7DF-56BA-3229-ADD8-FF1673FA120D <131 35 28 5>
  174    0 0xfffffe00075ca5c0 0x135d     0x135d     com.apple.driver.AppleSART (1) 3D9476C7-9F82-3977-AAEB-1234B61FC01E <28 8 7 6 5>
  175    0 0xfffffe00075c1860 0x176c     0x176c     com.apple.driver.AppleQSPIMC (1) DFB22BE0-D637-3468-81F4-F9E879C1E3C7 <28 9 7 6 5 3>
  176    0 0xfffffe000759c0b0 0xeec      0xeec      com.apple.driver.ApplePMUFirmwareDriver (1.0.0) E917159C-3F9A-3C96-AAC1-2EA5BA9886C9 <28 9 8 7 6 5 3>
  177    1 0xfffffe00073b9b20 0xc16      0xc16      com.apple.driver.AppleDialogPMU (1.0.1) EC5260A7-0F6A-3070-B475-F194128A9DBC <61 60 38 28 9 7 6 5 3>
  178    0 0xfffffe00075f1a50 0x2cc6     0x2cc6     com.apple.driver.AppleSPMIPMU (1.0.1) 52463B4A-B925-3D80-AABF-F2D297EBA2C4 <177 63 61 38 28 9 8 7 6 5 3>
  179    1 0xfffffe0007482270 0x11248    0x11248    com.apple.driver.AppleHPM (3.4.4) 33EC939B-8E24-374B-B02D-869375C114BB <117 106 105 63 59 35 28 9 8 7 6 5 3>
  180    0 0xfffffe000759cfa0 0x2110     0x2110     com.apple.driver.ApplePTD (1.0.0) 92681A2A-08D1-32B5-88ED-29FFC806219B <28 9 8 7 6 5 3>
  181    2 0xfffffe00075818b0 0x61b      0x61b      com.apple.driver.AppleNANDConfigAccess (1.0.0) DFE09ACB-9AC7-3821-B55C-897228B12D8F <28 9 7 6 5 3>
  182    0 0xfffffe000794cb00 0x11141    0x11141    com.apple.iokit.IONVMeFamily (2.1.0) 1B30D8DD-65FA-36EC-A625-EF3EA4B0FBB3 <181 86 67 63 62 41 40 38 28 22 20 9 8 7 6 5 3>
  183    0 0xfffffe000762d480 0x48b0     0x48b0     com.apple.driver.AppleT6041CLPC (1) 0AE8576C-D0DD-3D60-9CBE-27A27FC3BD33 <161 36 28 26 14 9 8 7 6 5 3>
  184    1 0xfffffe00077b3bd0 0xb42      0xb42      com.apple.driver.IISAudioIsolatedStreamECProxy (440.17) 22E64651-F6F4-3CDB-AB1F-4D523BD31121 <141 94 28 9 8 7 6 5>
  185    4 0xfffffe000712a6f0 0x5e98     0x5e98     com.apple.iokit.AppleARMIISAudio (440.17) E7E75738-D5D4-350D-ABA6-95EB85E674BD <184 94 32 9 8 7 6 5 3>
  186    3 0xfffffe00073ce580 0x7bfe     0x7bfe     com.apple.driver.AppleEmbeddedAudio (840.26) 4B5EE075-AE2F-31A9-9799-82080F280AD8 <185 94 38 32 31 28 9 7 6 5 3>
  187    0 0xfffffe00073db9e0 0xa70      0xa70      com.apple.driver.AppleSN012776Amp (840.26) A226E8A4-476E-3051-95B6-C6DA140B64A2 <186 185 38 32 31 28 9 7 6 5 3>
  188    0 0xfffffe00076ff390 0x25c3     0x25c3     com.apple.driver.AppleTypeCRetimer (1.0.0) F2E7AC7A-8323-3BBF-847C-856CF0A9D0AF <28 9 8 7 6 5 3>
  189    0 0xfffffe0007599b20 0x1bce     0x1bce     com.apple.driver.ApplePMP (1) F74EB5C0-BBEE-3B24-A073-378EDC081539 <62 41 40 38 28 8 7 6 5 3>
  190    0 0xfffffe00073ea370 0x19f5     0x19f5     com.apple.AppleEmbeddedSimpleSPINORFlasher (1) 0B34EEE1-B599-31CD-A11C-61A19F56B53A <28 9 7 6 5 3>
  191    0 0xfffffe00076071d0 0x4e28     0x4e28     com.apple.driver.AppleSmartIO2 (1) 3FE858FE-9D3D-395E-9860-A1883DA4C3D9 <62 41 40 16 8 7 6 5 3>
  192    1 0xfffffe0007379720 0xe80      0xe80      com.apple.driver.AppleCSEmbeddedAudio (840.26) D3D94FDC-5A1C-3FC4-B3F6-C17869EBC7FB <186 185 38 32 31 28 7 6 5 3>
  193    0 0xfffffe00073d6180 0x585f     0x585f     com.apple.driver.AppleCS42L84Audio (840.26) 4BEF4EC3-32EB-3B20-B8D7-79AC36E89326 <192 186 185 38 32 31 28 9 7 6 5 3>
  194    0 0xfffffe00073b9310 0x808      0x808      com.apple.driver.AppleDiagnosticDataAccessReadOnly (1.0.0) FE71F494-FCD0-338D-821C-733DB6DB108D <181 28 9 7 6 5 3>
  195    1 0xfffffe0007a0fc30 0x22068    0x22068    com.apple.plugin.IOgPTPPlugin (1340.12) C4CD2C31-4F96-3C0B-A693-DD05C7AFBAB5 <79 50 48 38 14 8 7 6 5 3>
  196    4 0xfffffe00075cf7f0 0x1356     0x1356     com.apple.iokit.AppleSEPGenericTransfer (1) 7C23BC39-742D-3309-94A0-69121899A44D <43 40 8 7 6 5>
  197    1 0xfffffe00076e56c0 0x7e35     0x7e35     com.apple.driver.AppleTrustedAccessory (1) 3800545A-09A0-3959-8CF2-A66D3AADB6BA <196 63 38 19 9 8 7 6 5 3>
  198    0 0xfffffe000711de20 0x1708     0x1708     com.apple.driver.AOPAudio2 (240.2) C4BF6950-757B-36E6-AE11-6AF0BB683849 <124 95 94 28 7 6 5 3>
  199    0 0xfffffe0007ac5bc0 0x1100     0x1100     com.apple.driver.SEPHibernation (1) E1569C84-A5C5-3534-AA95-A57581B8F95D <43 40 6 5>
  200    0 0xfffffe0007495f60 0x392a     0x392a     com.apple.driver.AppleIOPADMAStream (240.2) EA48202D-7974-3930-AB66-72CB24E47E34 <140 95 94 31 30 28 9 8 7 6 5 3>
  201    0 0xfffffe00079778a0 0x116f     0x116f     com.apple.driver.IOPAudioIOBufferDevice (240.13) 884BB58C-2DF0-3EDB-B4E6-24C8A7BA36C1 <95 28 8 7 6 5 3>
  202    0 0xfffffe000797b6b0 0x4a63     0x4a63     com.apple.driver.IOPAudioVoiceTriggerDevice (440.4) DEF808A6-DE6C-30D0-B79C-B1C8B2792E3A <141 95 94 8 7 6 5 3>
  203    0 0xfffffe00073f2c80 0xb08      0xb08      com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 55A99578-559F-3697-B359-AC794F4F351D <9 8 6 5 4 3>
  204    0 0xfffffe00073f3790 0x405d     0x405d     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) D184F161-03E9-3633-9947-F6302CC24071 <8 6 5 4 3>
  205    0 0xfffffe0007618b30 0x1183     0x1183     com.apple.driver.AppleSyntheticGameController (12.5.3) E368E7B9-8A9E-3556-AB26-35C37E171672 <38 8 6 5>
  206    0 0xfffffe0007737d50 0x1ede     0x1ede     com.apple.BootCache (40) 37B13EC0-1714-3510-9B23-4A8C52D2030C <9 8 7 6 5 3>
  207    0 0xfffffe0007739c30 0x1e64     0x1e64     com.apple.security.BootPolicy (1) ACF94989-F568-3231-8FB7-33840FB4DA1C <43 40 8 7 6 5>
  208    1 0xfffffe00077b3070 0xb5f      0xb5f      com.apple.filesystems.hfs.encodings.kext (1) D40C9CE0-0B3A-3973-81C4-D4DE7F64A8AA <9 8 7 6 5 3>
  209    0 0xfffffe00077a6730 0xc939     0xc939     com.apple.filesystems.hfs.kext (683.120.3) 080CCAD9-1651-3258-B38F-027B76E7DCFE <208 9 8 7 6 5 3>
  210    1 0xfffffe000737a5a0 0x167d     0x167d     com.apple.driver.AppleCallbackPowerSource (1) 25500472-B59E-3E52-9323-BE8CDA7D7271 <8 7 6 5 3>
  211    1 0xfffffe0007938230 0x12f7     0x12f7     com.apple.driver.IOHIDPowerSource (1) 38371DEB-ECEF-319F-8C52-E646BC681661 <210 38 8 7 6 5 3>
  212    0 0xfffffe000799fd60 0x887      0x887      com.apple.IOTextEncryptionFamily (1.0.0) E26E1D51-B14F-35B3-AC91-1837D21A4356 <29 9 7 6 5 3>
  213    4 0xfffffe0007b3bf00 0x5891a    0x5891a    com.apple.filesystems.apfs (2332.120.31) 54EDC05D-98EE-385A-AAA5-A648FC975B7A <46 22 19 18 10 9 8 7 6 5 4 3>
  214    0 0xfffffe0007bbdb00 0x3e20     0x3e20     com.apple.filesystems.lifs (1) A74CB9FA-6ACC-30BB-8BF5-3B0D32B909D5 <9 8 7 6 5 3>
  215    2 0xfffffe0007beac00 0x9d0      0x9d0      com.apple.kext.triggers (1.0) CB57EE59-BB6A-3553-8450-F10C0B6B7847 <9 8 7 6 5 3>
  216    0 0xfffffe0007bc4530 0x97bc     0x97bc     com.apple.filesystems.nfs (1) 26CB22A0-90A1-3ADD-85D9-9243B4307940 <215 10 9 8 7 6 5 3>
  217    0 0xfffffe000735e480 0x68a      0x68a      com.apple.driver.AppleBSDKextStarter (3) 18F6D4A6-7D5D-3DCD-925A-D9F0FB37786B <6 5>
  218    1 0xfffffe00077529f0 0xbd8      0xbd8      com.apple.driver.DCPDPFamilyProxy (1) 164F2A51-F225-3F8D-9A3A-E6B61A7AC126 <173 131 117 35 5>
  219    0 0xfffffe00073a6550 0x20d4     0x20d4     com.apple.driver.AppleDCPDPTXProxy (1.0.0) 406A9DB3-EB8D-33BB-BAB5-8AAC9163BEE9 <218 173 132 131 117 105 59 35 34 7 6 5>
  220    1 0xfffffe000796fb60 0x1d1d     0x1d1d     com.apple.driver.IOPAudioClientManagerDevice (240.13) D1AC4183-51B2-30FA-A707-72C6B45AE26F <95 28 8 7 6 5 3>
  221    0 0xfffffe0007978a10 0x2c91     0x2c91     com.apple.driver.IOPAudioLPMicDevice (240.13) 920DDA00-212E-3DA4-ACFE-BFFDA712E07B <220 95 8 7 6 5 3>
  222    0 0xfffffe00075d0b50 0x13d5     0x13d5     com.apple.driver.AppleSEPHDCPManager (1.0.1) 424CAFB3-C070-3EDE-9460-4B1C3ED2F088 <43 40 34 7 6 5>
  223    0 0xfffffe0007126780 0x3f6c     0x3f6c     com.apple.driver.AppleALSColorSensor (1.0.0d1) 770D4DB2-21AE-31C3-A269-C280879BB433 <124 38 28 9 7 6 5 3>
  224    0 0xfffffe0007be9ed0 0xd2a      0xd2a      com.apple.filesystems.tmpfs (1) BC0B1B17-22A4-36C2-9073-45657479D143 <9 8 7 6 5 3>
  225    1 0xfffffe0007ab7bf0 0x2170     0x2170     com.apple.nke.ppp (1.9) 6C3AAA7D-9DC6-3D91-8BCE-6B7E216F69DB <9 8 7 6 5 3>
  226    0 0xfffffe0007aafe60 0x1108     0x1108     com.apple.nke.l2tp (1.9) FE0B348F-DDAC-36FF-9CAF-1D1227007D7B <225 9 8 7 6 5 3>
  227    1 0xfffffe000763fe70 0xddf0     0xddf0     com.apple.driver.AppleThunderboltDPAdapterFamily (8.5.1) 3B1C9824-1352-382F-8F4A-ED14107F1B7D <106 7 6 5 3>
  228    0 0xfffffe000764dc60 0x282b     0x282b     com.apple.driver.AppleThunderboltDPInAdapter (8.5.1) BD38D9F0-9CCA-339D-ABF5-FCC7369DA32E <227 106 7 6 5 3>
  229    1 0xfffffe00076d60f0 0x1856     0x1856     com.apple.driver.AppleThunderboltPCIDownAdapter (4.1.1) 7AFC4204-DC27-3FA5-B64B-B2549EE47850 <106 86 67 7 6 5 3>
  230    0 0xfffffe00076dc160 0xb91      0xb91      com.apple.driver.AppleThunderboltUSBDownAdapter (1.0.4) FBD445B0-4D36-3A96-A9B3-396E7251057E <106 7 6 5 3>
  231    0 0xfffffe00073f77f0 0x895      0x895      com.apple.driver.AppleFileSystemDriver (3.0.1) BA26DDA8-2D18-3C1A-9A06-DBF8324A5D9E <22 6 5>
  232    0 0xfffffe000766eee0 0x2c9b2    0x2c9b2    com.apple.driver.AppleThunderboltIP (4.0.3) 7C5E184B-71B3-32B4-A856-D122D6164688 <106 67 48 7 6 5 3>
  233    4 0xfffffe0007712520 0x848      0x848      com.apple.driver.usb.networking (5.0.0) 789B451A-A349-3E15-9045-7E2D80F1123D <66 48 8 7 6 5 3>
  234    0 0xfffffe000770cbb0 0x11a9     0x11a9     com.apple.driver.AppleUSBDeviceNCM (5.0.0) 62B7DF8C-467A-3B81-9E4A-356918E0E5A1 <233 152 48 28 8 7 6 5 3>
  235    0 0xfffffe00076005d0 0x6bf2     0x6bf2     com.apple.driver.AppleSmartBatteryManager (161.0.0) 517E525D-1A14-3CCF-B3B7-883712BE6D23 <63 9 8 7 6 5 3>
  236    0 0xfffffe0007718330 0xa00      0xa00      com.apple.driver.AppleXsanScheme (3) 37592224-B678-3D2B-B599-7BFE491DDE0E <22 7 6 5 3>
  237    0 0xfffffe000735eb10 0x4fc3     0x4fc3     com.apple.driver.AppleBTM (1.0.1) C474FB36-91CD-39E0-B93C-E56785F11C49 <211 161 63 38 28 9 7 6 5 3>
  238    4 0xfffffe000792a130 0xd4d      0xd4d      com.apple.driver.DiskImages.KernelBacked (493.0.0) 08A19665-81F6-3100-A8A2-EC9F86024F12 <77 22 9 7 6 5 3>
  239    0 0xfffffe0007929920 0x80f      0x80f      com.apple.driver.DiskImages.FileBackingStore (493.0.0) 31BE31E0-6699-38EF-A2A2-0DED7BBA379D <238 77 22 9 8 7 6 5 3>
  240    0 0xfffffe000792ae80 0x6a0      0x6a0      com.apple.driver.DiskImages.RAMBackingStore (493.0.0) 31AFB542-67CA-3286-892D-A013B18668E7 <238 77 22 9 7 6 5 3>
  241    0 0xfffffe000792bb40 0x3a24     0x3a24     com.apple.driver.DiskImages.UDIFDiskImage (493.0.0) 9831C492-25C7-33DF-93D6-9AAEC19F6EEA <238 77 22 9 7 6 5 3>
  242    0 0xfffffe000792b520 0x620      0x620      com.apple.driver.DiskImages.ReadWriteDiskImage (493.0.0) 0B948BCA-41D0-3FD4-A0B0-C4613B125302 <238 77 22 9 7 6 5 3>
  243    0 0xfffffe000736ff10 0x1f80     0x1f80     com.apple.driver.AppleBluetoothDebug (1) DA5F29CF-668E-30ED-8365-329243E6B88C <113 87 8 7 6 5 3>
  244    1 0xfffffe0007384410 0x7913     0x7913     com.apple.driver.AppleConvergedPCI (1) 026EB29E-8713-3CC0-9E2A-5B3A9B877941 <87 67 8 7 6 5 3>
  245    0 0xfffffe000737bc20 0x87f0     0x87f0     com.apple.driver.AppleConvergedIPCOLYBTControl (1) 1CCAFE03-DCD5-36A4-A09E-C290CAF9FE4A <244 113 50 8 7 6 5 3>
  246    0 0xfffffe0007868490 0xc860     0xc860     com.apple.iokit.IOAVBFamily (1320.3) 5C916F24-C79A-3405-A7F7-506850FC542A <195 79 48 8 7 6 5 3>
  247    2 0xfffffe00078d5e40 0x36c8     0x36c8     com.apple.iokit.IOBiometricFamily (1) 7225CB12-CCE3-32A0-AA4B-49F550688E93 <196 43 40 9 8 7 6 5 3>
  248    1 0xfffffe0007549e60 0x8d12     0x8d12     com.apple.driver.AppleMesaSEPDriver (100.99) 0FCA7045-385E-327F-9B3F-F5E8CD4F695C <247 197 196 63 43 40 39 38 28 9 8 7 6 5 3>
  249    0 0xfffffe000773fe00 0x1da4     0x1da4     com.apple.driver.CoreKDL (1) B15F179E-6C59-3BEA-AD82-F39DB6F9AD58 <196 7 6 5 3>
  250    0 0xfffffe000736f170 0xd96      0xd96      com.apple.driver.AppleBiometricServices (1) 6613C95A-229F-3370-B5AE-8E7D01955E8B <248 247 28 9 7 6 5 3>
  251    0 0xfffffe0007466780 0x15bc     0x15bc     com.apple.driver.AppleHIDKeyboard (8010.1) 24CB0EFC-C780-3BB5-8DA4-B83138BDA846 <38 8 7 6 5>
  252    2 0xfffffe000757c970 0x4f3b     0x4f3b     com.apple.driver.AppleMultitouchDriver (8440.1) CB87E8CE-7102-3AA1-AA0A-F796865B5839 <123 38 26 9 8 7 6 5 3>
  253    0 0xfffffe00072cee80 0x1c59     0x1c59     com.apple.driver.AppleActuatorDriver (8440.1) 40E7D37F-C592-3F42-9D65-BC0A880A4427 <252 123 38 26 9 8 7 6 5 3>
  254    1 0xfffffe00078e8140 0x7e3d     0x7e3d     com.apple.driver.IOBluetoothHIDDriver (9.0.0) D762C7B0-3754-32DD-937A-81A514F9C3DD <75 38 7 6 5>
  255    1 0xfffffe00076e0f10 0x1940     0x1940     com.apple.driver.AppleHSBluetoothDriver (8420.1) 04500AC8-FEB9-3A51-9D04-E602935CFEF1 <254 75 38 8 7 6 5 3>
  256    0 0xfffffe00076e2850 0x2689     0x2689     com.apple.driver.AppleTopCaseHIDEventDriver (8420.1) C632FB41-773C-37A6-8285-9271C03819D2 <255 252 123 38 8 7 6 5 3>
  259    1 0xfffffe0007bf0760 0x7d0      0x7d0      com.apple.vecLib.kext (1.2.0) D097E7DA-1AA7-319F-BFB0-703C46B031B9 <14 9 8 7 6 5>
  260    1 0xfffffe00078cf2c0 0x6350     0x6350     com.apple.iokit.IOAudioFamily (600.2) 2C2F72BA-A449-33C1-B5A8-AD0982548A5B <259 7 6 5 3>
  261    0 0xfffffe0007703200 0x3760     0x3760     com.apple.driver.AppleUSBAudio (750.4) 20A934B3-AD04-3530-8765-CC95D05C8943 <260 146 67 66 65 30 8 7 6 5 3>
  262    2 0xfffffe0007706960 0x7e8      0x7e8      com.apple.driver.usb.cdc (5.0.0) 055D3FAF-9D2D-398E-8AAF-D95FFCEE3677 <233 146 66 7 6 5 3>
  263    0 0xfffffe0007aa78d0 0x1a9b     0x1a9b     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) FEB6D723-2580-3123-AF68-CCF0C3DAD790 <66 64 38 7 6 5 3>
  264    0 0xfffffe0007aadd50 0x9d8      0x9d8      com.apple.driver.driverkit.serial (6.0.0) 562EAC12-832C-3E8D-9043-2779B7B57A1C <57 7 6 5 3>
  266    0 0xfffffe0007b97720 0x1727     0x1727     com.apple.filesystems.autofs (3.0) 9E543132-0687-370E-AB8B-178CD8B32C74 <215 9 8 7 6 5 4 3>
  268    1 0xfffffe0007715f00 0xa2a      0xa2a      com.apple.driver.AppleUVDM (1.0.0) 74933CC3-AE88-36F1-A5E7-E43157992D0F <8 7 6 5 3>
  269    0 0xfffffe0007716930 0x19f8     0x19f8     com.apple.driver.AppleUVDMDriver (1.0.0) 32DD1DF1-52FB-3AB9-AC3E-973724821E4B <268 179 105 59 8 7 6 5>
  270    0 0xfffffe00076d7950 0x480d     0x480d     com.apple.driver.AppleThunderboltPCIUpAdapter (4.1.1) CD858B50-6FC1-3532-A1E8-0D476B46B2D4 <229 106 67 7 6 5 3>
  271    0 0xfffffe0007aa2d50 0x4b80     0x4b80     com.apple.driver.usb.AppleUSBXHCIPCI (1.2) B436F7CD-2AE8-3073-B9E6-0DD618E41E56 <149 67 66 64 28 9 8 7 6 5 3>
  272    0 0xfffffe0007712d70 0x28f4     0x28f4     com.apple.driver.usb.realtek8153patcher (5.0.0) 08A9EC03-23EF-36E8-9A64-406FCE27BE26 <66 7 6 5 3>
  274    1 0xfffffe0007715670 0x884      0x884      com.apple.driver.usb.serial (6.0.0) CADDF9F0-D023-34D1-B645-8ACD43729674 <66 57 7 6 5 3>
  275    0 0xfffffe00077029c0 0x840      0x840      com.apple.driver.usb.cdc.acm (5.0.0) 67300C5D-7F13-3330-A455-D821BBC28BDB <274 262 233 146 66 57 7 6 5 3>
  276    0 0xfffffe000770dd60 0xa54      0xa54      com.apple.driver.usb.cdc.ecm (5.0.0) B2DEB579-8500-34F6-96D4-05DCB822AB5C <262 233 66 65 48 7 6 5 3>
  277    0 0xfffffe0007611f40 0x883      0x883      com.apple.driver.AppleUSBMassStorageInterfaceNub (556) 36D8F0C8-41A5-386C-966D-FC4C487FA21D <68 67 66 56 55 22 7 6 5 3>
  278    0 0xfffffe0007990590 0x89e      0x89e      com.apple.iokit.SCSITaskUserClient (500.120.2) 7A82B5A7-B39E-36EF-AD4A-C426EE378881 <55 22 7 6 5 3>
